City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Sydney,AU,2021-05-31 02:08:49,-33.8679,151.2073,66.61,59,20,1.99
208,Castro,BR,2021-05-31 02:13:40,-24.7911,-50.0119,56.71,99,100,3.22
209,Buala,SB,2021-05-31 02:13:41,-8.145,159.5921,84.61,72,43,6.53
210,Corowa,AU,2021-05-31 02:13:42,-36.0333,146.3833,52.41,72,0,3.24
211,Saint-Augustin,CA,2021-05-31 02:13:44,51.226,-58.6502,51.03,58,0,8.86
212,Ponta Do Sol,PT,2021-05-31 02:13:45,32.6667,-17.1,64.0,55,13,2.17
213,Cidreira,BR,2021-05-31 02:13:46,-30.1811,-50.2056,48.52,65,24,7.31
214,Savonlinna,FI,2021-05-31 02:13:48,61.8699,28.88,46.26,81,0,8.05
215,Taoudenni,ML,2021-05-31 02:13:49,22.6783,-3.9836,100.15,12,100,9.57
216,Matara,LK,2021-05-31 02:13:50,5.9485,80.5353,81.21,83,100,14.18
217,Jiuquan,CN,2021-05-31 02:13:52,39.7432,98.5174,63.61,12,0,7.14
218,Santa Rosalia,MX,2021-05-31 02:13:53,27.3167,-112.2833,80.33,34,0,5.32
219,Kajansi,UG,2021-05-31 02:13:54,0.2081,32.5222,67.6,77,74,2.24
220,Novaya Lyalya,RU,2021-05-31 02:13:55,59.055,60.599,44.11,72,100,9.64
221,Dargaville,NZ,2021-05-31 02:13:57,-35.9333,173.8833,59.34,81,47,11.41
222,Acapulco,MX,2021-05-31 02:12:40,16.8634,-99.8901,85.82,70,90,4.97
223,Atherton,GB,2021-05-31 02:13:59,53.5237,-2.4935,53.26,75,2,1.99
224,Lavrentiya,RU,2021-05-31 02:14:01,65.5833,-171.0,38.8,69,93,12.33
225,Atambua,ID,2021-05-31 02:11:31,-9.1061,124.8925,81.7,60,100,1.68
226,Kodiak,US,2021-05-31 02:14:04,57.79,-152.4072,47.71,81,90,12.66
227,Marsa Matruh,EG,2021-05-31 02:14:05,31.3525,27.2453,70.38,87,0,11.59
228,Plymouth,US,2021-05-31 02:12:44,41.8334,-70.8328,50.83,95,90,1.01
229,Souillac,MU,2021-05-31 02:14:09,-20.5167,57.5167,71.37,85,29,6.76
230,Sibolga,ID,2021-05-31 02:14:11,1.7427,98.7792,81.72,74,73,0.89
231,Abu Samrah,SY,2021-05-31 02:14:12,35.3029,37.1841,66.96,44,0,4.79
232,Tuatapere,NZ,2021-05-31 02:14:14,-46.1333,167.6833,49.82,93,100,5.53
233,Kaitangata,NZ,2021-05-31 02:14:15,-46.2817,169.8464,55.92,88,100,7.38
234,Turan,VN,2021-05-31 02:12:54,16.0678,108.2208,98.58,47,20,1.14
235,Malangwa,NP,2021-05-31 02:14:17,26.8568,85.5581,84.56,67,13,7.07
236,Florianopolis,BR,2021-05-31 02:14:18,-27.6146,-48.5012,61.41,72,75,3.44
237,Itarema,BR,2021-05-31 02:14:20,-2.9248,-39.9167,76.26,85,20,10.92
238,Plouzane,FR,2021-05-31 02:14:21,48.3833,-4.6167,52.12,87,7,9.84
239,Gilgit,PK,2021-05-31 02:14:22,35.9221,74.3087,69.76,54,100,5.26
240,Mount Darwin,ZW,2021-05-31 02:14:24,-16.7725,31.5838,52.16,49,0,2.68
241,Faanui,PF,2021-05-31 02:10:32,-16.4833,-151.75,79.68,72,100,15.75
242,Olinda,BR,2021-05-31 02:09:34,-8.0089,-34.8553,73.13,88,90,4.72
243,Kinshasa,CD,2021-05-31 02:09:51,-4.3246,15.3215,77.45,70,99,4.52
244,Moberly,US,2021-05-31 02:14:30,39.4184,-92.4382,64.44,68,1,5.75
245,Ciudad Bolivar,VE,2021-05-31 02:14:31,8.1222,-63.5497,81.75,65,97,10.4
246,Cabedelo,BR,2021-05-31 02:10:54,-6.9811,-34.8339,75.87,83,99,6.38
247,Khorinsk,RU,2021-05-31 02:14:33,52.1657,109.7726,49.95,32,53,8.37
248,Otavi,NA,2021-05-31 02:14:35,-19.65,17.3333,57.25,29,100,2.98
249,Aquiraz,BR,2021-05-31 02:14:03,-3.9014,-38.3911,81.18,83,96,8.28
250,Joliet,US,2021-05-31 02:14:37,41.525,-88.0817,63.88,48,1,1.01
251,Ban Nahin,LA,2021-05-31 02:14:38,18.2418,104.2122,92.98,82,100,2.93
252,Ribeira Grande,PT,2021-05-31 02:14:40,38.5167,-28.7,63.79,82,100,6.78
253,Port Elizabeth,ZA,2021-05-31 02:09:54,-33.918,25.5701,54.14,74,80,10.71
254,Belvedere Marittimo,IT,2021-05-31 02:14:42,39.6179,15.8617,56.12,74,7,4.0
255,Marsabit,KE,2021-05-31 02:14:43,2.3284,37.9899,61.2,85,81,16.69
256,Panaba,MX,2021-05-31 02:14:45,21.2833,-88.2667,76.28,85,65,8.52
257,Diffa,NE,2021-05-31 02:14:46,13.3154,12.6113,85.48,10,0,10.02
258,Samana,DO,2021-05-31 02:14:47,19.2056,-69.3369,77.23,82,12,9.1
259,Grindavik,IS,2021-05-31 02:14:48,63.8424,-22.4338,42.91,93,40,20.6
260,Sungaipenuh,ID,2021-05-31 02:14:50,-2.0833,101.3833,67.71,94,100,0.98
261,Scarborough,GB,2021-05-31 02:13:58,54.2797,-0.4044,44.92,90,5,5.01
262,Nara,JP,2021-05-31 02:12:04,34.6851,135.8049,81.97,31,0,2.33
263,Taihe,CN,2021-05-31 02:14:54,30.8712,105.3845,83.05,51,100,2.95
264,Mananjary,MG,2021-05-31 02:14:55,-21.2167,48.3333,69.06,92,6,6.49
265,Port Lincoln,AU,2021-05-31 02:14:57,-34.7333,135.8667,59.5,36,100,16.28
266,Jalu,LY,2021-05-31 02:14:58,29.0331,21.5482,77.09,45,0,11.23
267,Codrington,AU,2021-05-31 02:14:59,-38.2667,141.9667,56.35,41,92,14.41
268,Trat,TH,2021-05-31 02:12:53,12.5,102.5,90.82,76,26,4.79
269,Barcelos,PT,2021-05-31 02:15:02,41.5388,-8.6151,65.91,90,5,3.11
270,Chapais,CA,2021-05-31 02:12:15,49.7834,-74.8492,48.58,57,5,5.3
271,Puerto Madryn,AR,2021-05-31 02:15:04,-42.7692,-65.0385,56.25,62,97,31.43
272,Puerto Ayora,EC,2021-05-31 02:15:06,-0.7393,-90.3518,73.54,86,3,5.99
273,Hamilton,US,2021-05-31 02:13:43,39.1834,-84.5333,57.04,83,1,2.55
274,Moroto,UG,2021-05-31 02:15:09,2.5345,34.6666,65.08,73,71,2.86
275,Ust-Kan,RU,2021-05-31 02:15:10,50.9276,84.761,57.07,50,4,3.02
276,Taltal,CL,2021-05-31 02:15:12,-25.4,-70.4833,63.61,74,11,5.7
277,Karratha,AU,2021-05-31 02:15:13,-20.7377,116.8463,74.43,54,3,12.5
278,Gazanjyk,TM,2021-05-31 02:10:15,39.2446,55.5154,80.08,35,0,1.03
279,North Bend,US,2021-05-31 02:15:15,43.4065,-124.2243,71.24,72,1,14.97
280,Antalaha,MG,2021-05-31 02:15:16,-14.9003,50.2788,70.88,90,56,4.18
281,Cartagena,CO,2021-05-31 02:15:03,10.3997,-75.5144,80.22,83,40,8.05
282,East Wenatchee Bench,US,2021-05-31 02:15:19,47.4257,-120.2812,82.96,20,1,5.01
283,Jumla,NP,2021-05-31 02:15:08,29.2747,82.1838,63.37,67,73,1.14
284,Adrar,MR,2021-05-31 02:15:21,20.5022,-10.0711,89.53,28,100,11.54
285,Mendi,PG,2021-05-31 02:15:22,-6.1761,143.6513,65.86,73,96,4.94
286,Iquitos,PE,2021-05-31 02:15:24,-3.7481,-73.2472,75.24,94,90,2.3
287,Iwaki,JP,2021-05-31 02:15:25,37.05,140.8833,75.78,52,7,1.99
288,Ngorongoro,TZ,2021-05-31 02:15:26,-3.2397,35.4875,49.01,95,99,5.57
289,Matata,NZ,2021-05-31 02:15:28,-37.8833,176.75,61.52,51,66,5.19
290,Athabasca,CA,2021-05-31 02:15:29,54.7169,-113.2854,73.09,65,91,6.26
291,Namatanai,PG,2021-05-31 02:15:30,-3.6667,152.4333,83.68,74,98,7.92
